rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
64,"spotify:track:0dzbNEBsrs17os3jJOFLar","XG","IS THIS LOVE","XGALX",9,64,44
65,"spotify:track:36upb403LqNA2hWZvwQZiS","SEEDA","親子星","CCG",49,62,3
66,"spotify:track:5XKjC9HCdGdGyltKvsqNdb","Travis Japan","Say I do","Universal Music LLC",15,65,25
67,"spotify:track:5PclMa9Pxs1OFWSAS6Nid9","KiiiKiii","I DO ME","Starship Entertainment",3,67,32
68,"spotify:track:6qo8v2y2MHUSPLs7VBc6cG","Jonathan Bailey, Ariana Grande, Ethan Slater, Marissa Bode, Cynthia Erivo","Dancing Through Life","Universal Studios and Republic Records",8,63,34
69,"spotify:track:5EwK4ktknUuLnfIARakZOk","Bell Angel, Nozomi Kitay","Hurley Queen (feat. Nozomi Kitay)","Fresh Music Studio",30,78,25
70,"spotify:track:43jExF2HeZ6cJIGrWF0ie4","Nateki, Scythermane","Funk de Beleza - Slowed","Nateki",20,87,36
71,"spotify:track:4SnxdpLgjBGS21hmXTr9Cc","the engy","Night Kids","エビバデレコーズ",3,71,39
72,"spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ","Alex Warren","Ordinary","Atlantic Records",50,72,29
73,"spotify:track:5gKbfSXKilgi9Nwwdcl90h","キュアアイドル(CV：松岡美里), キュアウインク(CV：髙橋ミナミ), キュアキュンキュン(CV：高森奈津美), キミとアイドルプリキュア♪","Trio Dreams(TVサイズ)","Marvelous Inc.",8,70,25
74,"spotify:track:3rYKcnhd8GVENoPuEFhH4A","ROF-MAO","布袋尊","RFMO Records",44,81,11
75,"spotify:track:1Wc6lVmg2QZ7JcDlrT1kst","Nogizaka46","ネーブルオレンジ","Sony Music Labels Inc.",68,83,11
76,"spotify:track:0uKaL6p5igatyLtOKkHsEl","Snow Man","One","MENT RECORDING",1,97,42
77,"spotify:track:30GGgQDoRSBsjck9tMmDDP","YOASOBI","PLAYERS","YOASOBI",71,79,4
78,"spotify:track:0G6qJFcW0jGQXnK2aUq1Y5","Yog*","Yacht!!!","Yog*",4,68,46
79,"spotify:track:1x8rEMmMWZi7oBSXu9Hu4v","Vingo","楽笑","Vingo",79,96,3
80,"spotify:track:3be9ACTxtcL6Zm4vJRUiPG","yung kai","blue","BMG Rights Management (US) LLC",2,80,128
81,"spotify:track:3FdZ6MCqA9y0Hhlc8U9uSw","YENTOWN, kZm, Awich, PETZ, MonyHorse, JNKMN","バグり (feat. kZm, Awich, PETZ, MonyHorse & JNKMN)","YENTOWN",22,77,11
82,"spotify:track:021B59ZMRHv7VHtgmTsO99","tubakiii","雨傘","人塵製作所",73,73,4
83,"spotify:track:6Bs58pXi6AiNsu6zDnzbfh","King & Prince","marble","Universal Music LLC",34,82,11
84,"spotify:track:6iycYUk3oB0NPMdaDUrN1w","Playboi Carti","EVIL J0RDAN","AWGE/Interscope Records",7,75,11
85,"spotify:track:5nz4Z9BFXOZaaTpeub4eXy","初星学園, 葛城リーリヤ","極光","ASOBINOTES",62,84,4
86,"spotify:track:6h6y3m83xvAOoCW3JZpzzf","ONE OR EIGHT","DSTM","avex trax",39,69,4
87,"spotify:track:6YPVsaH3D1jTMO6opoIjsw","Kento Nakajima","CANDY ~Can U be my BABY~ (New Vocal Mix 2024)","Sony Music Labels Inc.",1,-1,70
88,"spotify:track:2pPZuMAbrKIxxRCYhhOojm","YZERR, LANA, JP THE WAVY, ¥ellow Bucks","Miss Luxury","New Rich Entertainment",8,76,39
89,"spotify:track:406IpEtZPvbxApWTGM3twY","LE SSERAFIM","HOT","SOURCE MUSIC",41,86,11
90,"spotify:track:2HhIndg75YiKjuUgGiMjSA","YEJI","Air","WM Japan",5,74,18
91,"spotify:track:68qeaZhtMZ6abrJCYt6nQn","Playboi Carti, The Weeknd","RATHER LIE (with The Weeknd)","AWGE/Interscope Records",21,91,11
92,"spotify:track:1QSzGsYpAVluhC5vm3gnZ4","ミセカイ","それは心地良い夢でした。","ミセカイ",35,-1,11
93,"spotify:track:0ZnvQc8Ql8foFq4aprS3ke","NANAOAKARI","明日の私に幸あれ","Sony Music Labels Inc.",19,94,62
94,"spotify:track:0hhUYRTVgcq7oD4qVLDgR2","HANA","Drop","HANA",3,99,39
95,"spotify:track:0DMJz677XfXiiruhIELu2e","Jombriel, DFZM, Jøtta","VITAMINA","WEA Latina",95,100,2
96,"spotify:track:2FqbDCeIK0IqqpH5GaiOmV","AZU, Shootz","Aurora (feat. 柊人)","NokeyBoyz",25,89,68
97,"spotify:track:69HHtTM7JrsiXAFDUPW8Yr","King & Prince","I MY ME MINE","Universal Music LLC",48,-1,8
98,"spotify:track:3GiADMmI5jfkhF2o4a2G8N","Fujii Kaze","真っ白","Universal Music LLC",16,-1,24
99,"spotify:track:5EIjpM1B1VsLoKvv2iwd0P","Scythermane, NXGHT!, MC Fabinho da Osk","NUNCA MUDA?","Purple Crunch Records",19,85,32
100,"spotify:track:0z3xsyhI24diExSlIbWm4W","Hump Back","恋をしよう","林音楽教室",73,98,9
